Che,"A very common informal interjection that is that is embedded in Argentine slang. Similar to “hey” in English, and used to get someone’s attention.","¿Che, me hacés un favor?",FILLER_WORD
Volá,A very direct and not so nice way to tell someone to leave a place.,Volá de acá de una vez,SLANG
Boludo,"If you only learn one piece of Argentine slang, then let it be this one.  This word was first intended as a strong insult towards someone’s intelligence, but now it’s so overused that it’s meaning is close “pal”, and is used to refer to someone in a friendly way, similar to Mexico’s “pendejo”.  Additionally, there are some words derived from it, like the verb “boludear”, which roughly translates as “to mess around”, or just “hanging out”.  Another favourite derived from this word is “boludez”, which can mean all the following: something simple, nothing, a waste of time, and nonsense.","Boludo, ¿vas a hacer algo el fin de semana?",ENDEARMENT
Pibe/Piba,An alternative to “chico” or “chica”.,"Cuidado con el pibe en la cocina, se puede quemar",YOUTH_SLANG
Mina,"Argentine slang for a women you don’t know. Although it’s not very flattering, most of the time this word is used without any bad intentions.","Che, ¿conocés a esa mina?",SLANG
Pelotudo,"Pelotudo is similar to “boludo”, but slightly stronger. This word is used to describe someone who is generally unpleasant to be around, or has a very toxic attitude. And like “boludo”, this word has lost part of its punch over the years.","Presta más atención, no seas pelotudo",INSULT
Forro,"In case you were worried that all Argentine slang had been watered-down, then you can use “forro” to describe someone who is extremely annoying, an idiot or a prick. This one isn’t light hearted.","No soporto a ese forro, es insoportable",INSULT
Atar con alambre,"This expression is a little sarcastic and is used when something is broken, damaged or in a bad condition. Argentines have a funny way of saying that things need to be fixed, or at least make them functional once again. “Atar con alambre” means that you will improvise and come up with a solution for a certain situation – without actually solving the main problem. A literal translation will be “to tie with wire”.","Esa pieza está algo suelta, pero la podemos atar con alambre",IDIOM
Medio pelo,"Something (or someone) that doesn’t meet what is expected of them, and is seen as disappointing or simply quite mediocre.","Esta pizza está medio pelo, y la pizza no es tan difícil de hacer",IDIOM
No dá,"When something is unacceptable or doesn’t quite get there, they you use this phrase to say “it does not give”.","Fue a la entrevista de trabajo, pero creo que no dá",IDIOM
Picar el bagre,"This is a weird one. Although the phrase literally translates as “having an itchy catfish”, it means “being hungry”.",¿Nos vamos temprano? Ya me pica el bagre,IDIOM
Quemar la cabeza,"An expression used to describe being in a difficult situation or a conundrum, and having to think hard in order to come up with a solution. The literal translation is “to burn your head”, which I think us English speakers could get on board with using.",Lleva una semana quemándose la cabeza tratando de escribir ese artículo,IDIOM
Estar al horno,"This phrase translates as “to be cooked in an oven” and is an accurate representation for the heat (or consequences) that someone faces when they can’t “burn their head” and find a solution  As a bonus, you can add “con papas” at the end (meaning “plus chips”) to exaggerate the phrase even more.","Si de verdad no has estudiado nada para el examen, estas al horno con papas",IDIOM
Sacarla Barata,"Imagine for a second that there was a shooting across the street, but you were extremely lucky and somehow, nothing happened to you, so you “¡la sacaste barata!” which literally means “get it out cheap”  It can also be used when referring to money ie. you had a really good time without spending a penny.","Tuve un accidente el otro día pero no me pasó nada, la saqué barata",IDIOM
Tener una vena,"In English, you probably heard about someone “popping a vein” due to being extremely upset or stressed about something. In Argentine slang, the same expression exists, but instead of “popping” a vein, you just “have” one.",Si él se entera va a tener una vena,IDIOM
Tener mala leche,"If someone has bad milk, then he or she is having some bad luck. This phrase can be used to describe a generally unlucky person, or an unlucky incident.","Toda esta semana has tenido mala leche, ¿quieres salir a hacer algo distinto?",IDIOM
Estar al pedo,"Sometimes it’s nice to sit around and do nothing. “Estar al pedo” describes that exactly, when you’re being a lazy person, home alone, doing nothing with nobody.","No he salido desde hace bastante, he estado acá al pedo",IDIOM
Estar en pedo,"Despite looking similar, the phrase “estar en pedo” has a completely different meaning and is used to describe being completely drunk or wasted.","Estás muy al pedo, no tomes tan rápido",IDIOM
