language_code,category,region_code,Term_Phrase_Item,notes,tags
es-AR,OTHER,Argentina,,,
es-AR,SLANG,Argentina,Afanar,"To steal, to rob. Originating from old Spanish popular language, it's widely used in Lunfardo (Argentine slang).  Example: ""Le afanaron la billetera en el subte."" (They stole his wallet on the subway.)","Slang,Lunfardo,Theft"
es-AR,SLANG,Argentina,Ajoba,"A slang term meaning ""down, below."" It's a reverse spelling of ""abajo"" (down).  Example: ""El perro está ajoba de la mesa."" (The dog is under the table.)","Slang,Reverse Spelling,Location"
es-AR,IDIOM,Argentina,Al ñudo,"Uselessly, in vain.  Similar in meaning to ""al cuete"" or ""al divino botón.""  It implies that an action was performed without success or to no effect.  Example: ""Intenté arreglarlo, pero fue al ñudo."" (I tried to fix it, but it was useless.)","Slang,Futility,Argentina"
es-AR,SLANG,Argentina,Al palo,"Means ""at full speed, at maximum intensity; very active or excited"".  It's used informally in energetic contexts.  Examples include describing music playing loudly (""La música estaba al palo"") or someone working intensely (""El tipo labura al palo todo el día"").","Informal,Energetic,Argentina"
es-AR,SLANG,Argentina,Apoliyar / Apolillar,"To sleep, to nap.  Originates from the Neapolitan word ""appollaiare"" (to roost). It's considered understood and somewhat classic slang.","Slang,Sleep,Neapolitan origin"
es-AR,SLANG,Argentina,Atorrante,"Vagrant, lazy person; shameless, brazen person; scoundrel. Originates from Spanish, possibly from a brand of sewer pipes ""A. Torrant"" where vagrants slept.  It is widely used and can be quite pejorative. Example: ""Ese tipo es un atorrante, no quiere trabajar."" (That guy is a bum, he doesn't want to work.)","Slang,Pejorative,Argentina"
es-AR,SLANG,Argentina,Bacán,"Wealthy and elegant man; someone who lives well.  It can also be used ironically.  Originating from the Genovese word ""bacàn"" (boss, master), it originally also meant a man who keeps a mistress, or a pimp.  The term is understood and often associated with classic/tango era connotations. Example: ""Vive como un bacán, con muchos lujos."" (He lives like a wealthy man, with many luxuries.)","Slang Terms,lunfardo,Genovese origin"
es-AR,INSULT,Argentina,Bagarto,"A pejorative and augmentative slang term derived from ""bagayo."" It refers to a very ugly person or thing, or something of very low quality.  The example provided illustrates its use to describe a dilapidated car: ""Ese auto es un bagarto, se cae a pedazos."" (That car is a real piece of junk, it's falling apart.)","Slang,Pejorative,Insult"
es-AR,INSULT,Argentina,Bagayo,"A pejorative slang term in Argentina meaning ""ugly person"" or ""something of low quality or in bad taste.""  It is used to describe someone or something considered unattractive or lacking in aesthetic merit.  Example: ""Ese cuadro es un bagayo."" (That painting is tacky.)","Slang,Pejorative,Argentina"
es-AR,SLANG,Argentina,Bardo,"Trouble, a mess, a complicated or chaotic situation, a fight.  It can refer to a physical fight or a generally troublesome situation.  Example: ""Se armó bardo en el boliche."" (A fight/trouble started at the club.) / ""No quiero bardo."" (I don't want any trouble.)","Trouble,Chaos,Fight"
es-AR,SLANG,Argentina,Bárbaro/a,"Means ""Awesome, fantastic, great""; however, depending on context and intonation, it can also mean ""terrible"" or ""wild"".  The meaning is highly context-dependent.  Example: ""¡Qué noche bárbara!"" (What an awesome night!) / ""Hacía un frío bárbaro."" (It was terribly cold.)","Slang,Adjective,Intensifier"
es-AR,SLANG,Argentina,Batir,"To tell, reveal, confess, spill the beans. Originates from the Spanish word ""batir"" (in old slang, to confess).  It is understood and commonly used in contexts where information is being revealed. Example: ""Me batió que se iba de viaje."" (He told me he was going on a trip.)","Slang,Confession,Reveal"
es-AR,SLANG,Argentina,Berreta,"Means low quality, cheap, shoddy.  Originates from Italian, possibly from ""berretto"" (cap). It is widely used in Argentina. Example: ""Compré unos zapatos berretas y se rompieron enseguida."" (I bought some shoddy shoes and they broke right away.)","Slang,Low Quality,Italian Origin"
es-AR,SLANG,Argentina,Birra,"Beer.  This word originates from the Italian word ""birra"".  It is used informally, as in the example sentence: ""¿Tomamos unas birras?"" (Shall we have some beers?).","Slang,Beer,Informal"
es-AR,YOUTH_SLANG,Argentina,Boliche,"Nightclub, bar, disco.  It can also refer to a small, traditional shop or store.  The meaning ""nightclub"" is more common among young people.  Example: ""¿Vamos al boliche esta noche?"" (Are we going to the club tonight?)","Nightclub,Bar,Youth slang"
es-AR,SLANG,Argentina,Boludo/a,"Highly context-dependent term.  It can be a strong insult meaning ""idiot"" or ""jerk"", or a familiar and neutral term of address meaning ""dude,"" ""mate,"" or ""pal."" Its origin is Spanish, etymologically meaning ""big-balled.""  The usage ranges from a strong insult to a common, neutral, or even affectionate term among friends.  Learners should use it with extreme caution due to its potential for offense. Examples include:  ""¡No seas boludo, eso no se hace!"" (Don't be an idiot, you don't do that!) as an insult, and ""Che, boludo, ¿qué hacés?"" (Hey man, what are you doing?) as a familiar address.","Insult,Familiar Address,Argentina"
es-AR,SLANG,Argentina,Bondi,"Bus (public transport).  Originates from the Brazilian Portuguese word ""bond"" (referring to tram tickets), adopted into Lunfardo (Argentine slang). Example usage: ""Voy a tomar el bondi para ir al centro."" (I'm going to take the bus to go downtown.)","Slang,Public Transport,Lunfardo"
es-AR,SLANG,Argentina,Broli,"Slang term for ""book"", created by reversing the letters of the Spanish word ""libro"".  Example usage: ""Pasame ese broli."" (Pass me that book.)","Slang,Vesre,Argentina"
es-AR,SLANG,Argentina,Bronca,"Anger, frustration, annoyance; a difficult situation; a fight, brawl.  Originates from either the Italian word ""broncio"" (pout, sulk) or the Spanish word ""bronco"" (rough). It is widely used in Argentina.","Anger,Frustration,Lunfardo"
es-AR,SLANG,Argentina,Bufoso,"A Lunfardo slang term for ""pistol"" or ""firearm"".  Example usage: ""El ladrón sacó un bufoso."" (The thief pulled out a pistol.)","Lunfardo,Weapon,Argentina"
