"Term_Phrase_Item","Category","Definition_Origin_Example","Tags"
"Afanar","SLANG (Slang - General)","To steal, to rob. Origin: From old Spanish popular language, widely used in Lunfardo. Example: ""Le afanaron la billetera en el subte."" (They stole his wallet on the subway.)","Slang Terms, lunfardo"
"Ajoba","SLANG (Slang - General)","Down, below (Vesre of ""abajo""). Example: ""El perro está ajoba de la mesa."" (The dog is under the table.)","Slang Terms, Vesre, Location"
"Al ñudo","SLANG (Slang - General)","Uselessly, in vain. (Similar to ""al cuete"" or ""al divino botón""). Example: ""Intenté arreglarlo, pero fue al ñudo."" (I tried to fix it, but it was useless.)","Slang Terms, Idiom, Futility"
"Al palo","SLANG (Slang - General)","At full speed, at maximum intensity; very active or excited. Context: Informal, energetic. Example: ""La música estaba al palo."" (The music was at full blast.) ""El tipo labura al palo todo el día."" (The guy works at full tilt all day.)","Slang Terms, informal, energetic"
"Apoliyar / Apolillar","SLANG (Slang - General)","To sleep, to nap. Origin: Neapolitan ""appollaiare"" (to roost). Status: Understood, somewhat classic slang. Example: ""Después de almorzar, me gusta apoliyar un rato."" (After lunch, I like to nap for a bit.)","Slang Terms, lunfardo, neapolitan origin, classic slang"
"Atorrante","SLANG (Slang - General)","Vagrant, lazy person; shameless, brazen person; scoundrel. Origin: Spanish, possibly from a brand of sewer pipes ""A. Torrant"" where vagrants slept. Status: Widely used, can be quite pejorative. Example: ""Ese tipo es un atorrante, no quiere trabajar."" (That guy is a bum, he doesn't want to work.)","Slang Terms, lunfardo, pejorative"
"Bacán","SLANG (Slang - General)","Wealthy and elegant man; someone who lives well; also used ironically. Origin: Genovese ""bacàn"" (boss, master). Originally also meant a man who keeps a mistress, pimp. Status: Understood, often with classic/tango era connotations. Example: ""Vive como un bacán, con muchos lujos."" (He lives like a wealthy man, with many luxuries.)","Slang Terms, lunfardo, genovese origin, classic slang, tango era"
"Bagarto","SLANG (Slang - General)","(Pejorative, augmentative of Bagayo) Very ugly person or thing; something of very low quality. Example: ""Ese auto es un bagarto, se cae a pedazos."" (That car is a real piece of junk, it's falling apart.)","Slang Terms, Pejorative, Augmentative"
"Bagayo","SLANG (Slang - General)","(Pejorative) Ugly person; something of low quality or in bad taste. Example: ""Ese cuadro es un bagayo."" (That painting is tacky.)","Slang Terms, pejorative"
"Bardo","SLANG (Slang - General)","Trouble, a mess, a complicated or chaotic situation, a fight. Example: ""Se armó bardo en el boliche."" (A fight/trouble started at the club.) / ""No quiero bardo."" (I don't want any trouble.)","Slang Terms, Trouble, Chaos, Fight"
"Bárbaro/a","SLANG (Slang - General)","Awesome, fantastic, great; can also mean terrible or wild depending on context and intonation. Example: ""¡Qué noche bárbara!"" (What an awesome night!) / ""Hacía un frío bárbaro."" (It was terribly cold.)","Slang Terms, Adjective, Intensifier, Context Dependent"
"Batir","SLANG (Slang - General)","To tell, reveal, confess, spill the beans. Origin: Spanish ""batir"" (in old slang, to confess). Status: Understood, common in contexts of revealing information. Example: ""Me batió que se iba de viaje."" (He told me he was going on a trip.)","Slang Terms, lunfardo"
"Berreta","SLANG (Slang - General)","Low quality, cheap, shoddy. Origin: Italian, possibly from ""berretto"" (cap). Status: Widely used. Example: ""Compré unos zapatos berretas y se rompieron enseguida."" (I bought some shoddy shoes and they broke right away.)","Slang Terms, lunfardo, italian origin"
"Birra","SLANG (Slang - General)","Beer. Origin: From Italian ""birra."" Example: ""¿Tomamos unas birras?"" (Shall we have some beers?)","Slang Terms, italian origin, loanword"
"Boliche","SLANG (Slang - General)","Nightclub, bar, disco. Can also refer to a small, traditional shop or store. Context: ""Nightclub"" is the more common youth meaning. Example: ""¿Vamos al boliche esta noche?"" (Are we going to the club tonight?)","Slang Terms, youth usage"
"Boludo/a","SLANG (Slang - General)","(Highly context-dependent) Idiot, jerk (insult); Dude, mate, pal (familiar address). Origin: Spanish. Etymologically ""big-balled."" Context: Can be a strong insult or a very common, neutral, or even affectionate term among friends. Learners should use with extreme caution. Example (insult): ""¡No seas boludo, eso no se hace!"" (Don't be an idiot, you don't do that!) Example (familiar): ""Che, boludo, ¿qué hacés?"" (Hey man, what are you doing?)","Slang Terms, insult, familiar address, caution"
"Bondi","SLANG (Slang - General)","Bus (public transport). Origin: From Brazilian Portuguese ""bond"" (referring to tram tickets), adopted into Lunfardo. Example: ""Voy a tomar el bondi para ir al centro."" (I'm going to take the bus to go downtown.)","Slang Terms, brazilian portuguese origin, lunfardo, loanword"
"Broli","SLANG (Slang - General)","Book (Vesre of ""libro""). Example: ""Pasame ese broli."" (Pass me that book.)","Slang Terms, Vesre, Objects"
"Bronca","SLANG (Slang - General)","Anger, frustration, annoyance; a difficult situation; a fight, brawl. Origin: Italian ""broncio"" (pout, sulk) or Spanish ""bronco"" (rough). Status: Widely used. Example: ""Tengo una bronca bárbara porque perdí el tren."" (I'm incredibly frustrated because I missed the train.)","Slang Terms, lunfardo, italian origin"
"Bufoso","SLANG (Slang - General)","Pistol, firearm (Lunfardo). Example: ""El ladrón sacó un bufoso."" (The thief pulled out a pistol.)","Slang Terms, Lunfardo, Weapon"
"Bulín","SLANG (Slang - General)","Bachelor pad, a modest room or apartment, often for trysts or a young person's dwelling. Origin: French ""boulin"" (pigeonhole) or Italian ""bolino"" (stamp for bread). Status: Understood, classic Lunfardo, often heard in tangos. Example: ""Se encontró con su amante en el bulín."" (He met his lover in the bachelor pad.)","Slang Terms, lunfardo, french origin, italian origin, classic lunfardo, tango"
"Cana","SLANG (Slang - General)","Police; jail. Origin: French ""canne"" (cane, police officer's stick) or vesre of ""botón"" (police). Status: Widely used and understood. Example: ""Lo metieron en cana por robar."" (They put him in jail for stealing.)","Slang Terms, lunfardo, french origin, vesre"
"Canchero/a","SLANG (Slang - General)","Skilled, expert, smooth operator; someone with experience or confidence; sometimes implies cockiness. Origin: Quechua ""kancha"" (enclosure, field) + Spanish suffix. Status: Widely used. Example: ""Es muy canchero para negociar."" (He's very skilled at negotiating.)","Slang Terms, lunfardo, quechua origin"
"Capo","SLANG (Slang - General)","Boss, master, someone who is very skilled or in charge; a top person. (From Italian ""capo"" - head). Example: ""Messi es un capo jugando al fútbol."" (Messi is a master at playing football.)","Slang Terms, italian origin, skill, respect"
"Careta","SLANG (Slang - General)","(Pejorative) Fake person, hypocrite; someone who pretends to be something they are not (often more ""proper"" or ""moral""). Origin: Literally ""mask."" Example: ""Dice que no toma alcohol, pero es un careta, lo vi en la fiesta."" (He says he doesn't drink alcohol, but he's a hypocrite, I saw him at the party.)","Slang Terms, pejorative"
"Chabón/a","SLANG (Slang - General)","Guy, dude, fellow; girl/woman. Origin: From Spanish ""chambón"" (clumsy person), common in Lunfardo. Context: Generally neutral but can be slightly pejorative or dismissive depending on tone and context. Example: ""Ese chabón de allá me está mirando."" (That guy over there is looking at me.)","Slang Terms, lunfardo, neutral, potentially pejorative"
"Chamullero/a","SLANG (Slang - General)","A smooth talker, a player, someone skilled at ""chamuyo"" (persuasive or deceptive talk, flirting). Example: ""Ese tipo es un chamullero, no le creas nada."" (That guy is a smooth talker, don't believe anything he says.)","Slang Terms, Noun, Personality, Deception, Flirting"
"Chamuyo / Chamuyar","SLANG (Slang - General)","Sweet talk, persuasive talk, smooth talk, flirting; to sweet-talk, flirt, try to convince, bluff. Origin: Caló (Spanish Romani) ""chamuya"" (talk). Status: Fully mainstream. See also ""Unique Local Words/Concepts."" Example: ""No me vengas con chamuyos."" (Don't give me that nonsense.)","Slang Terms, lunfardo, calo origin, mainstream, unique concept"
"Che","SLANG (Slang - General)","Ubiquitous interjection: ""hey,"" ""hey you,"" ""man,"" ""dude,"" ""mate,"" or to get someone's attention. Can also be a filler word. A hallmark of Argentinian Spanish. Origin: Debated, possibly indigenous or an apocope. Example: ""Che, ¿me pasás la sal?"" (Hey, can you pass me the salt?)","Slang Terms, interjection, filler word, hallmark"
"Chele","SLANG (Slang - General)","Milk (Vesre of ""leche""). Often used to refer to semen in a vulgar context. Example (neutral for milk): ""¿Querés chele con el feca?"" (Want milk with the coffee?)","Slang Terms, Vesre, Food, Drink, Vulgar potential"
"Chochamu","SLANG (Slang - General)","Young man, guy (Vesre of ""muchacho""). Example: ""Ese chochamu es mi hermano."" (That guy is my brother.)","Slang Terms, Vesre, People"
"Copado/a","SLANG (Slang - General)","Cool, great, awesome, nice (person or thing). Context: Informal, positive. Example: ""¡Qué copada tu remera!"" (Your t-shirt is so cool!)","Slang Terms, informal, positive"
"Engrupir","SLANG (Slang - General)","To deceive, trick, con. Origin: Genovese ""gróppo"" (knot, implying trickery). Status: Understood, common. Example: ""Me engrupió con una historia falsa."" (He tricked me with a false story.)","Slang Terms, lunfardo, genovese origin"
"Facha","SLANG (Slang - General)","(Good) looks, appearance, face; a good-looking person. Origin: From Italian ""faccia"" (face). Example: ""Tiene buena facha ese actor."" (That actor has good looks.)","Slang Terms, italian origin, loanword"
"Fato","SLANG (Slang - General)","Affair, business, matter (often illicit or secret). Origin: Italian ""fatto"" (done, fact). Example: ""Tenía un fato con el jefe."" (He had an affair/deal with the boss.)","Slang Terms, Lunfardo, Affair, Business"
"Feca","SLANG (Slang - General)","Coffee (Vesre of ""café""). Example: ""Necesito un feca para despertarme."" (I need a coffee to wake up.)","Slang Terms, vesre, food, drink"
"Fiaca","SLANG (Slang - General)","Laziness, lack of energy, unwillingness to do something, lethargy. Origin: From Italian ""fiacca"" (weariness, laziness). Example: ""Hoy tengo una fiaca terrible, no quiero hacer nada."" (Today I feel terribly lazy, I don't want to do anything.)","Slang Terms, italian origin, loanword, unique concept"
"Fierro","SLANG (Slang - General)","Firearm; also used for cars or tools (literally ""iron""). Example: ""El tipo andaba con un fierro en la cintura."" (The guy was carrying a gun at his waist.) / ""¡Qué buen fierro tenés!"" (What a great car you have!)","Slang Terms, Lunfardo, Weapon, Car, Tool"
"Fungi","SLANG (Slang - General)","Mushroom; in Lunfardo, it means ""hat"". Example: ""Se puso el fungi y salió."" (He put on his hat and left.)","Slang Terms, Lunfardo, Clothing, Vesre potential"
"Gamba","SLANG (Slang - General)","One hundred pesos (older slang); also leg. Example: ""Me costó dos gambas."" (It cost me 200 pesos.) / ""Me duele la gamba."" (My leg hurts.)","Slang Terms, Lunfardo, Money, Body Part"
"Gapar","SLANG (Slang - General)","To pay (Vesre of ""pagar""). Example: ""Hoy me toca gapar a mí."" (Today it's my turn to pay.)","Slang Terms, Vesre, Money, Action"
"Garpar","SLANG (Slang - General)","To pay (Vesre of ""pagar,"" more common form than ""gapar""). Example: ""Hay que garpar la cuenta."" (We have to pay the bill.)","Slang Terms, Vesre, Money, Action"
"Gomina","SLANG (Slang - General)","Hair gel, brilliantine. Also, by extension, a somewhat old-fashioned dandyish style. Example: ""Se peinaba con gomina."" (He styled his hair with gel.)","Slang Terms, Grooming, Style"
"Gomía","SLANG (Slang - General)","Friend (Vesre of ""amigo""). Example: ""¿Qué hacés, gomía?"" (What are you doing, friend?)","Slang Terms, Vesre, People, Friendship"
"Groso/a","SLANG (Slang - General)","Awesome, great, brilliant, expert (person); something impressive. Origin: From Portuguese ""grosso"" (thick, coarse), adopted in Brazil then Argentina. Literally ""thick, big."" Example: ""Messi es un groso."" (Messi is awesome.)","Slang Terms, portuguese origin, loanword"
"Guarda","SLANG (Slang - General)","Look out! Be careful! (From Italian ""guarda!"" - look!). Example: ""¡Guarda que viene un auto!"" (Look out, a car is coming!)","Slang Terms, Interjection, Warning, Italian Origin"
"Guita","SLANG (Slang - General)","Money. Origin: From Spanish popular language, common in Lunfardo. Example: ""No tengo guita para el cine."" (I don't have money for the cinema.)","Slang Terms, lunfardo"
"Hincha pelotas","SLANG (Slang - General)","(Vulgar) Annoying person, a pain in the ass (literally ""ball itcher/inflater""). Example: ""No seas hincha pelotas y dejame en paz."" (Don't be a pain and leave me alone.)","Slang Terms, Insult, Annoying, Vulgar"
