"Category","Sub-Category","Term/Phrase","Translation/Meaning","Language","Region","Notes"
"Colloquial Phrases","Exclamation","Allee","Come on! / Let's go! / Well...","Flemish/Dutch","Flanders","Direct borrowing from French 'Allez', showing historical influence."
"Colloquial Phrases","Idiom","Als puntje bij paaltje komt","When push comes to shove.","Flemish/Dutch","Flanders","Lit. 'When the point comes to the pole'."
"Colloquial Phrases","Exclamation","Amaï","Wow / Oh my / Gosh","Brusseleir/Belgian Dutch","Brussels","A versatile exclamation expressing surprise, admiration, or disbelief depending on intonation."
"Colloquial Phrases","Exclamation","Ballekes!","Nonsense! / Bullshit!","Brusseleir","Brussels","For emphasis, 'Ballekes me tomatesaus!' (Meatballs with tomato sauce!) is used."
"Colloquial Phrases","Idiom","Daar heeft hij geen kaas van gegeten","He doesn't understand that topic at all.","Flemish/Dutch","Flanders","Lit. 'He hasn't eaten any cheese from that'."
"Colloquial Phrases","Idiom","Er was geen kat","It was completely deserted.","Flemish/Dutch","Flanders","Lit. 'There wasn't even a cat'."
"Colloquial Phrases","Idiom","Helaas pindakaas","Too bad / That's a shame.","Flemish/Dutch","Flanders","A lighthearted, rhyming phrase to express minor disappointment. Lit. 'Unfortunately, peanut butter'."
"Colloquial Phrases","Grammar/Expression","Je te dis quoi","I'll let you know.","Belgian French","Belgium","A calque (loan translation) from a Germanic structure. Sounds strange to Metropolitan French speakers."
"Colloquial Phrases","Idiom","Maak dat de kat wijs","You can't fool me / Tell me another one.","Flemish/Dutch","Flanders","Lit. 'Make that the cat wise'."
"Colloquial Phrases","Exclamation","Non peut-être?!","Yes, of course! / Absolutely!","Belgian French","Brussels","A classic example of 'zwanze' (sarcastic humor). A sarcastic affirmation, lit. 'No maybe?!'."
"Colloquial Phrases","Action","Partir en stoemelinks","To leave secretly or discreetly; to sneak out.","Belgian French","Brussels","From the Dutch word 'stommelings' (secretly)."
"Colloquial Phrases","Grammar/Usage","S'il vous plaît","You're welcome / Here you are.","Belgian French","Belgium","Used when handing something to someone, mirroring the versatile Dutch 'alstublieft'."
"Colloquial Phrases","Grammar/Usage","savoir (used for pouvoir)","To be able to.","Belgian French","Belgium","e.g., 'Tu sais me passer le sel?' (Can you pass me the salt?) where Metropolitan French would use 'peux'."
"Colloquial Phrases","Idiom","van een leien dakje gaan","To go smoothly without any problems.","Flemish/Dutch","Flanders","Lit. 'to go from a slate roof'."
"Colloquial Phrases","Exclamation","Vooruit met de geit","Let's get on with it / Let's go.","Flemish/Dutch","Flanders","A rustic phrase to impel action. Lit. 'Forward with the goat'."
"Colloquial Phrases","Expression","Y fait douf","It's hot and humid.","Belgian French","Brussels","A typical Brussels expression for the weather. Also 'Il fait douf'."
