language_code,category,region_code,Term_Phrase_Item,notes,tags
de-DE,SLANG,Germany,Alter,"Informal way to say ""dude"" or ""man"". Example: ""Alter, das ist verrückt!"" (Dude, that's crazy!)","Germany,Informal,Youth"
de-DE,SLANG,Germany,Krass,"Means ""awesome"" or ""intense"". Example: ""Das ist krass!"" (That's awesome!)","Germany,Informal,Exclamation"
de-DE,SLANG,Germany,Geil,"Originally vulgar, now commonly used to mean ""cool"" or ""awesome"". Example: ""Das Konzert war geil!"" (The concert was awesome!)","Germany,Informal,Cool"
de-DE,SLANG,Germany,Digger,"North German slang for ""buddy"" or ""mate"". Example: ""Was geht, Digger?"" (What's up, buddy?)","Hamburg,Informal,Friend"
de-DE,REGIONAL_SLANG,Bavaria,Servus,"Bavarian/Austrian greeting meaning ""hello"" or ""goodbye"". Example: ""Servus, wie geht's?"" (Hello, how are you?)","Bavaria,Austria,Greeting"
de-DE,SLANG,Germany,Bock,"Means ""desire"" or ""motivation"". Example: ""Ich hab Bock auf Pizza"" (I feel like having pizza)","Germany,Desire,Informal"
de-DE,SLANG,Germany,Abfahrt,"Means ""awesome"" or ""wicked"". Example: ""Das ist voll die Abfahrt!"" (That's totally awesome!)","Germany,Exclamation,Youth"
de-DE,SLANG,Germany,Chillen,"To relax or chill out. Example: ""Lass uns chillen"" (Let's chill out)","Germany,Relaxation,Youth"
de-DE,SLANG,Germany,Checken,"To understand or get something. Example: ""Ich check das nicht"" (I don't get it)","Germany,Understanding,Informal"
de-DE,SLANG,Germany,Hammer,"Means ""awesome"" or ""amazing"". Example: ""Das ist der Hammer!"" (That's amazing!)","Germany,Exclamation,Positive"
de-DE,SLANG,Germany,Kumpel,"Informal word for friend or buddy. Example: ""Mein Kumpel kommt auch"" (My buddy is coming too)","Germany,Friend,Informal"
de-DE,SLANG,Germany,Mucke,"Slang for music. Example: ""Gute Mucke!"" (Good music!)","Germany,Music,Youth"
de-DE,SLANG,Germany,Pennen,"To sleep. Example: ""Ich muss pennen gehen"" (I need to go sleep)","Germany,Sleep,Informal"
de-DE,SLANG,Germany,Knorke,"Berlin slang meaning ""great"" or ""fantastic"". Example: ""Das ist knorke!"" (That's great!)","Berlin,Positive,Regional"
de-DE,REGIONAL_SLANG,Berlin,Icke,"Berlin dialect for ""I"" or ""me"". Example: ""Icke bin det"" (That's me)","Berlin,Pronoun,Dialect"
de-DE,SLANG,Germany,Zoff,"Means trouble or conflict. Example: ""Es gibt Zoff"" (There's trouble)","Germany,Conflict,Informal"
de-DE,SLANG,Germany,Quatsch,"Nonsense or rubbish. Example: ""Das ist totaler Quatsch!"" (That's total nonsense!)","Germany,Nonsense,Common"
de-DE,SLANG,Germany,Schweinerei,"Something outrageous or a mess. Example: ""Was für eine Schweinerei!"" (What an outrage!)","Germany,Outrage,Informal"
de-DE,SLANG,Germany,Fetzig,"Cool or awesome. Example: ""Das ist fetzig!"" (That's cool!)","Germany,Cool,Youth"
de-DE,SLANG,Germany,Macker,"Slang for guy or dude. Example: ""Der Macker da drüben"" (That guy over there)","Germany,Person,Informal"
de-DE,SLANG,Germany,Saufen,"To drink alcohol heavily. Example: ""Wir gehen saufen"" (We're going drinking)","Germany,Drinking,Vulgar"
de-DE,SLANG,Germany,Gammeln,"To laze around or be lazy. Example: ""Ich will nur gammeln"" (I just want to laze around)","Germany,Lazy,Informal"
de-DE,SLANG,Germany,Labern,"To talk nonsense or chatter. Example: ""Hör auf zu labern!"" (Stop talking nonsense!)","Germany,Talk,Informal"
de-DE,SLANG,Germany,Feiern,"To party or celebrate. Example: ""Wir feiern heute!"" (We're partying today!)","Germany,Party,Youth"
