language_code,category,region_code,Term_Phrase_Item,notes,tags
de,SLANG,,Geil,"Cool/Awesome (originally 'horny', widespread use)","Slang,General"
de,SLANG,,Krass,Cool/Amazing/Extreme (expresses surprise or astonishment),"Slang,General"
de,SLANG,,Hammer,Cool/Awesome (enthusiastic expression),"Slang,General"
de,SLANG,,Kohle,Money,"Slang,General,Money"
de,SLANG,,Knete,Money,"Slang,General,Money"
de,SLANG,,Mäuse,Money,"Slang,General,Money"
de,SLANG,,Asche,Money,"Slang,General,Money"
de,SLANG,,Schotter,Money,"Slang,General,Money"
de,SLANG,,Moos,Money,"Slang,General,Money"
de,SLANG,,Penunzen,"Money (somewhat dated, humorous)","Slang,General,Money"
de,SLANG,,Kneipe,Bar/Pub,"Slang,General"
de,SLANG,Northern Germany,Büx,Pants,"Slang,General,Regional,Northern Germany"
de,SLANG,,Karre,"Car (slangy, often for an old car)","Slang,General"
de,SLANG,,Schlitten,Car (often for a cool or expensive car),"Slang,General"
de,SLANG,,Abgehen,To party hard; for something to be amazing or start off,"Slang,General"
de,SLANG,,Flexen,"To show off, to flex (borrowed from English)","Slang,General"
de,SLANG,,Futtern,"To eat a lot, to chow down","Slang,General"
de,SLANG,,Mampfen,"To munch, to eat with enjoyment","Slang,General"
de,SLANG,,Spachteln,"To eat a lot and quickly, to scoff","Slang,General"
de,SLANG,,Gelaber,"Gibberish, drivel, incessant talk","Slang,General"
de,SLANG,,Happa-Happa,"Baby talk for ""food"" or ""eating""","Slang,General"
de,SLANG,,Kippen,Cigarettes,"Slang,General"
de,SLANG,,Fluppe,Cigarette,"Slang,General"
de,SLANG,,Läuft bei dir!,Things are going well for you! / You're on a roll! (can be genuine or sarcastic),"Slang,General"
de,SLANG,,Mahlzeit!,"Traditional greeting around lunchtime, especially in canteens or workplaces. Can also mean ""Enjoy your meal!""","Slang,General"
de,SLANG,,Quatsch,"Nonsense, baloney","Slang,General"
de,SLANG,,Bescheuert,Dumb/Stupid/Crazy,"Slang,General"
de,SLANG,,Bekloppt,"Crazy, nuts","Slang,General"
de,SLANG,,Töricht,"Foolish (more formal but can be used in a slangy, exasperated way)","Slang,General"
de,SLANG,,Spinnen,To be crazy,"Slang,General"
de,SLANG,,Einen an der Waffel haben,"To be crazy, to have a screw loose","Slang,General"
de,SLANG,,Nicht alle Latten am Zaun haben,"To be crazy, to have a screw loose","Slang,General"
de,SLANG,,Breit,Drunk or stoned,"Slang,General"
de,SLANG,,Dicht,Very drunk,"Slang,General"
de,SLANG,,Knülle,"Wasted, very drunk","Slang,General"
de,SLANG,,Blau sein,To be drunk,"Slang,General"
de,SLANG,,Pleite,Broke (financially),"Slang,General"
de,SLANG,,Ebbe in der Kasse,Low on cash,"Slang,General"
de,SLANG,,Abhauen,"To leave, to scram","Slang,General"
de,SLANG,,Die Fliege machen,"To make a quick exit, to bolt","Slang,General"
de,SLANG,,Bock haben / keinen Bock haben,To be in the mood for something / not be in the mood for something,"Slang,General"
de,SLANG,,Null Bock,Absolutely no desire/interest,"Slang,General"
de,SLANG,,Verarschen,"To kid, to pull someone's leg, to make fun of (can be vulgar)","Slang,General"
de,SLANG,,Veräppeln,"To kid, to tease (milder than verarschen)","Slang,General"
de,SLANG,,Anbaggern,"To hit on someone, to chat someone up","Slang,General"
de,SLANG,,Rumkriegen,"To win someone over, to persuade, or to successfully seduce.","Slang,General"
de,SLANG,,Pennen,"To sleep, to crash (informal)","Slang,General"
de,SLANG,,Rumsitzen,"To sit around, often idly.","Slang,General"
de,SLANG,,Abchecken,To check out (someone or something).,"Slang,General"
de,SLANG,,Am Start sein,"To be present, to be ready, to be part of something.","Slang,General"
de,YOUTH_SLANG,,Cringe,"Cringe, embarrassing (borrowed from English)","YouthSlang,Youth"
de,YOUTH_SLANG,,Random,Random (borrowed from English),"YouthSlang,Youth"
de,YOUTH_SLANG,,Safe,"Safe, definitely, for sure (borrowed from English)","YouthSlang,Youth"
de,YOUTH_SLANG,,Lit,"Lit, awesome (borrowed from English)","YouthSlang,Youth"
de,YOUTH_SLANG,,Goofy,"Goofy, clumsy, silly (borrowed from English; German Youth Word of 2023)","YouthSlang,Youth"
de,YOUTH_SLANG,,No cap,"No cap, no lie (borrowed from English)","YouthSlang,Youth"
de,YOUTH_SLANG,,Sick,"Sick, cool (borrowed from English)","YouthSlang,Youth"
de,YOUTH_SLANG,,Vibe,Vibe (borrowed from English),"YouthSlang,Youth"
de,YOUTH_SLANG,,Wack,"Wack, not cool (borrowed from English)","YouthSlang,Youth"
de,YOUTH_SLANG,,YOLO (You Only Live Once),(borrowed from English; German Youth Word of 2012),"YouthSlang,Youth"
de,YOUTH_SLANG,,Sus,"Suspicious (borrowed from English, popularized by ""Among Us"")","YouthSlang,Youth"
de,YOUTH_SLANG,,Sau,Intensifier,"YouthSlang,Youth"
de,YOUTH_SLANG,,Zocken,To play video games,"YouthSlang,Youth"
de,YOUTH_SLANG,,Alter,Dude / Bro (can also express surprise or annoyance),"YouthSlang,Youth"
de,YOUTH_SLANG,,Chillen,"To chill, to relax (adapted from English)","YouthSlang,Youth"
de,YOUTH_SLANG,,Diss,"To diss, to disrespect (borrowed from English)","YouthSlang,Youth"
de,YOUTH_SLANG,,Lost,"Lost, clueless, confused (borrowed from English; German Youth Word of 2020)","YouthSlang,Youth"
de,YOUTH_SLANG,,Wild / Wyld,"Wild, crazy, intense (borrowed from English)","YouthSlang,Youth"
de,YOUTH_SLANG,,Aura,"Personal aura/charisma or status, often used humorously (German Youth Word of 2024). Can be positive or negative.","YouthSlang,Youth"
de,YOUTH_SLANG,,Schere,Used in gaming to admit a mistake (from a visual of crab's claws).,"YouthSlang,Youth,Gaming"
de,YOUTH_SLANG,,Smash,"To start something with someone, to hit on someone (borrowed from English; German Youth Word of 2022)","YouthSlang,Youth"
de,YOUTH_SLANG,,Ehrenmann / Ehrenfrau,"Good person, someone who is honorable or does something kind (German Youth Word of 2018, often used ironically now).","YouthSlang,Youth"
de,YOUTH_SLANG,,I bims,"It's me (humorous, intentional misspelling of Ich bin's; German Youth Word of 2017).","YouthSlang,Youth"
de,YOUTH_SLANG,,Fly sein,"To be awesome, to be cool (German Youth Word of 2016).","YouthSlang,Youth"
de,YOUTH_SLANG,,Smombie,Smartphone zombie (person staring at their phone; German Youth Word of 2015).,"YouthSlang,Youth"
de,YOUTH_SLANG,,Babo,"Boss, leader (German Youth Word of 2013).","YouthSlang,Youth"
de,YOUTH_SLANG,,Swag,"Being cool, casual (German Youth Word of 2011).","YouthSlang,Youth"
de,YOUTH_SLANG,,Niveaulimbo,"Meaningless conversations, discourse descending to ever lower levels (German Youth Word of 2010).","YouthSlang,Youth"
de,YOUTH_SLANG,,Baddie,"A confident, attractive person (borrowed from English).","YouthSlang,Youth"
de,YOUTH_SLANG,,Stabil,"Cool, impressive, solid, reliable.","YouthSlang,Youth"
de,YOUTH_SLANG,,No front,No offense (often used before or after a critique).,"YouthSlang,Youth"
de,YOUTH_SLANG,,Mashallah,"An Arabic term meaning ""God has willed it,"" used by German youth as slang to compliment something impressive or attractive.","YouthSlang,Youth"
de,YOUTH_SLANG,,Gönn dir!,Treat yourself! (encouragement).,"YouthSlang,Youth"
de,YOUTH_SLANG,,Auf Cringe,Doing something in an embarrassing way.,"YouthSlang,Youth"
de,YOUTH_SLANG,,Sheesh,Expression of surprise or disbelief (borrowed from English).,"YouthSlang,Youth"
de,YOUTH_SLANG,,Digga / Dicker,"Mate / Bro (close male friends, common across Germany, popularized by hip-hop).","YouthSlang,Youth"
de,YOUTH_SLANG,,Bre / Brudi,Bro / Dude (largely influenced by German rap).,"YouthSlang,Youth"
de,YOUTH_SLANG,,Wallah,"Arabic for ""I swear to God,"" used to emphasize something.","YouthSlang,Youth"
de,YOUTH_SLANG,,Habibi,"Arabic for ""my dear"" or ""my love,"" used affectionately among friends.","YouthSlang,Youth"
de,YOUTH_SLANG,,Lauch,"A skinny or weak person, a dweeb","YouthSlang,Youth"
de,YOUTH_SLANG,,Opfer,"Victim, often used to mean loser (can be offensive).","YouthSlang,Youth"
de,YOUTH_SLANG,,Ehre genommen,"Honor taken (used when someone is severely outplayed or humiliated, especially in gaming).","YouthSlang,Youth,Gaming"
de,YOUTH_SLANG,,Alman,"Often used humorously or critically to describe someone stereotypically German (e.g., overly punctual, rule-abiding).","YouthSlang,Youth"
de,YOUTH_SLANG,,Fotobeweis oder es ist nicht passiert,Photo proof or it didn't happen (common online/social media phrase).,"YouthSlang,Youth,Internet"
de,YOUTH_SLANG,,Side Eye,"(Borrowed from English) A sidelong glance expressing disapproval, skepticism, or judgment.","YouthSlang,Youth"
de,YOUTH_SLANG,,Rizz,"(Borrowed from English) Charisma, romantic appeal, or skill in charming potential partners.","YouthSlang,Youth"
de,YOUTH_SLANG,,NPC (Non-Player Character),"(Borrowed from English gaming slang) Someone perceived as lacking original thought or acting in a programmed, unthinking way.","YouthSlang,Youth,Gaming"
de,URBAN_SLANG,Berlin,Kiez,"Neighborhood (especially in Berlin and Hamburg). In Hamburg, often refers specifically to the Reeperbahn.","UrbanSlang,Urban,Berlin,Hamburg"
de,URBAN_SLANG,Berlin,Späti (Spätkauf),Late-night corner store (particularly common in Berlin).,"UrbanSlang,Urban,Berlin"
de,URBAN_SLANG,Berlin,Stampe,Dive bar/Drinking den (Berlin).,"UrbanSlang,Urban,Berlin"
de,URBAN_SLANG,Berlin,Kotti,"Kottbusser Tor (U-Bahn station and area in Kreuzberg, Berlin - nickname).","UrbanSlang,Urban,Berlin"
de,URBAN_SLANG,Berlin,Görli,"Görlitzer Bahnhof (U-Bahn station) or Görlitzer Park (park in Kreuzberg, Berlin - nickname).","UrbanSlang,Urban,Berlin"
de,URBAN_SLANG,Berlin,Schlesi,"Schlesisches Tor (U-Bahn station in Kreuzberg, Berlin - nickname).","UrbanSlang,Urban,Berlin"
de,URBAN_SLANG,Berlin,Alex,"Alexanderplatz (major square and transport hub in Mitte, Berlin - nickname).","UrbanSlang,Urban,Berlin"
de,URBAN_SLANG,Berlin,Rosi,"Rosenthaler Platz (U-Bahn station and square in Mitte, Berlin - nickname).","UrbanSlang,Urban,Berlin"
de,URBAN_SLANG,Berlin,F'hain,"Friedrichshain (district, Berlin - nickname).","UrbanSlang,Urban,Berlin"
de,URBAN_SLANG,Berlin,Xberg / Kreuzberg36 / SO36,"Kreuzberg (district, Berlin - nickname, with 36 referring to a former postal code area known for its alternative scene).","UrbanSlang,Urban,Berlin"
de,URBAN_SLANG,,Multi-Kulti,Multicultural (often used to describe diverse neighborhoods).,"UrbanSlang,Urban"
de,URBAN_SLANG,,Szeneviertel,Trendy/alternative district.,"UrbanSlang,Urban"
de,REGIONAL_SLANG,Bavaria,A Maß,A one-liter mug of beer.,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Basd scho!,It's alright! / It'll be okay! (Passt schon!).,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,I hob di liab,I love you (more heartfelt than Ich liebe dich in some contexts).,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Fei,"Intensifier (no direct translation, adds emphasis or a sense of obviousness).","RegionalSlang,Regional,Bavaria"
