
Term,Meaning,Category,Region,Example,Notes
A capella,"Without accompaniment, especially in music.",Colloquial Phrase,General,"He sang the song a capella and it sounded incredible.","Adaptation of the Italian 'a cappella'."
A darle que es mole de olla,"An incitement to start something with enthusiasm and without delay.",Colloquial Phrase,General,"Everything is ready to start. A darle que es mole de olla!","The metaphor alludes to 'mole de olla', a dish best eaten hot."
A grapa,Free of charge.,Colloquial Phrase,General,"We were able to get into the concert de a grapa.","Variant of 'de a grapa'."
A huevo,"Hell yeah; of course; definitely.",Slang,General,"Are you going to the party? ¡A huevo!","Can be considered slightly vulgar."
A la brava,"Forcefully, aggressively.",Colloquial Phrase,General,"He tried to solve the problem a la brava.",""
A la gorra ni quien le corra,"Nobody turns down something that's free.",Proverb,General,"The party has an open bar, and well, a la gorra ni quien le corra.",""
A la vejez, viruelas,"Said when someone does something at an old age that is typical of youth.",Proverb,General,"My grandpa got a tattoo. A la vejez, viruelas.",""
¡A la bio, a la bao, a la bim bom ba!,"A chant used in celebrations or to cheer on a team.",Cheer,General,"¡A la bio, a la bao, a la bim bom ba, el equipo, el equipo, ra ra ra!",""
¡A la bestia!,"An interjection of surprise or astonishment, similar to 'No way!'.",Slang,Northern,"¡A la bestia! What an amazing car you bought.",""
¡A poco!,"Really? You don't say!",Slang,General,"I won the lottery. - ¡A poco!","Expresses surprise or disbelief."
¡A su mecha!,"Wow! Gosh!",Slang,General,"¡A su mecha, that was a close call!","A milder exclamation of surprise."
¡A toda madre!,"Awesome, excellent, fantastic.",Slang,General,"The movie was ¡a toda madre!","Part of the 'madre' family of expressions."
Abaratar,"To humiliate, to overwhelm.",Slang,Slang (Caló),"They abarataron him in the argument and he didn't know what to say.",""
Abeja,"Clever, sharp person.",Slang,General,"You have to be abeja to succeed in this business.","Literally means 'bee'."
Abusado,"Alert, sharp, clever.",Slang,General,"Stay abusado, don't let them trick you.",""
Acá,"Here; also used to imply a higher status or being cool.",Slang,General,"Ven acá. / He thinks he's very acá.",""
Acalambrar,"To scare, to intimidate.",Slang,General,"The big dog acalambró the kids.",""
Achicopalarse,"To get sad or depressed.",Slang,General,"Don't achicopales, you'll see everything will be fine.",""
Achinarse,"To curl up or become shy.",Slang,General,"He achinó in the corner when he got scolded.",""
Achis,An exclamation of surprise or annoyance.,Slang,General,"¡Achis! I forgot my keys.",""
Acolchonar el Riñón,"To eat well before starting to drink alcohol.",Colloquial Phrase,General,"Let's get some tacos to acolchonar el riñón before the party.",""
Acordeón,"A cheat sheet for an exam.",Unique Concept,Student,"The teacher caught my acordeón during the test.",""
Agandallar,"To take something abusively; to hoard.",Slang,General,"That guy agandalló all the candy.",""
Agarrado,"Stingy, cheap.",Slang,General,"My boss is very agarrado with raises.","Synonym of 'codo'."
Agarrar en curva,"To catch someone off guard.",Colloquial Phrase,General,"Your question me agarró en curva.",""
Agarrar la onda,"To understand something; to get the hang of a situation.",Colloquial Phrase,General,"At first I didn't get it, but now I've agarrado la onda.",""
Agarró y se fue,"A redundant and colloquial way of saying 'he/she left'.",Colloquial Phrase,Yucatan,"We were talking and suddenly, agarró y se fue.",""
Agüitado,"Sad, downhearted.",Slang,General,"I'm feeling agüitado because I failed the exam.",""
Aguanta vara,"An expression asking for patience or for someone to keep a promise.",Colloquial Phrase,General,"Aguanta vara, I'm almost there.",""
Aguas,"Watch out! Be careful!",Slang,General,"¡Aguas with the dog!","Comes from the era when wastewater was thrown onto the streets from windows."
Aguacate,"Testicle.",Slang,Slang (Caló),"He got hit in the aguacates.",""
Ahí nos vidrios,"See you later.",Colloquial Phrase,General,"I'm leaving, ahí nos vidrios.","A play on words with 'ahí nos vemos'."
Ahí muere,"An expression to end an argument or a matter.",Colloquial Phrase,General,"Okay, let's drop the subject. Ahí muere.",""
Ahorita,"In a moment; can mean right now or never.",Unique Concept,General,"Ahorita I'll do it.","The urgency depends on tone and context; famous for its ambiguity."
Ajerar,"To annoy, to bother.",Slang,Western (Jalisco),"Stop ajerando your brother.",""
Ájalas,"An interjection denoting surprise.",Slang,Western (Jalisco),"¡Ájalas! I didn't expect to see you here.",""
Al chile,"To be honest; for real.",Colloquial Phrase,General,"Al chile, I don't like your new haircut.",""
Al nopal solo se le arriman cuando tiene tunas,"Refers to people who only seek others out of self-interest.",Proverb,General,"Now that he has money, everyone is his friend. Al nopal solo se le arriman cuando tiene tunas.",""
Al tiro,"Alert, sharp, ready.",Slang,General,"Ponte al tiro with the homework.",""
Albur,"A play on words with a double meaning, usually sexual.",Unique Concept,General,"He's a master of the albur, he always wins.",""
Alcahuete,"A person who enables or facilitates the love affairs of others; a snitch.",Slang,General,"His brother acts as his alcahuete with his parents.",""
Amá / Apá,"A short and affectionate way to say mom or dad.",Slang,Northern / General,"I'm going to my amá's house.",""
Amarillo,"A traffic officer (due to their uniform color).",Slang,Central (Mexico City),"The amarillo gave me a ticket.",""
Amarrete,"Stingy, miserly.",Slang,General,"Don't be amarrete and chip in for the gift.","Synonym for 'codo'."
Amolar,"To ruin, to break.",Slang,General,"You amolaste the remote control.",""
Ancina / Ansina,"Thus, in that way.",Slang,Rural,"Ancina my grandfather used to say.","Archaic form of 'así'."
Andar con el Jesús en la boca,"To be very worried or scared.",Colloquial Phrase,General,"With so much crime, one anda con el Jesús en la boca.",""
Andar crudo,"To be hungover.",Colloquial Phrase,General,"Don't talk to me loudly, ando bien crudo.",""
Andar de mírame y no me toques,"To be in a very delicate or bad mood.",Colloquial Phrase,General,"He's andar de mírame y no me toques today, better not to talk to him.",""
