ID,TERM,NOTES
50,Joya,"In Argentinian Spanish, ""Joya"" is slang used as an expression of agreement or to indicate that something is okay or fine.  The example provided shows its use as a short, affirmative response to a question about meeting at a certain time. It implies acceptance and agreement."
55,Lonyipietro,"A slang term meaning ""fool"" or ""idiot."" It's a complex example of Vesre (a type of reversed wordplay common in Lunfardo, Argentinian slang), possibly derived from ""petrolini"" (meaning clown or fool) or a similar word.  Example usage: ""No seas lonyipietro."" (Don't be a fool.)"
56,Lope,"Slang term for ""hair"", a reversed spelling of ""pelo"" (hair).  It is used in the same way as ""pelo"", as illustrated by the example sentence ""Tiene el lope largo"" (He/She has long hair)."
57,Lorca,"A slang term for ""heat"" in Argentina. It's a 'vesre' (reverse spelling) of ""calor"" (heat).  Example usage: ""¡Qué lorca hace hoy!"" (It's so hot today!)."
58,Luca,"Slang term for one thousand pesos.  Example usage: ""Esto sale dos lucas."" (This costs two thousand pesos).  The term is associated with Lunfardo, a type of Argentinian slang."
60,Mango,"The entry is unclear.  The term 'Mango' is listed, along with 'misfortune, lie, versatile' which seems to describe possible meanings or uses of the slang term.  The lack of clear definition makes it difficult to provide a precise explanation.  The asterisk and comma separated list suggest multiple meanings or uses, possibly depending on context.  More information is needed for a complete understanding."
62,Matina,"Morning (from Italian ""mattina"").  It's a slang term used in Argentina, likely influenced by Italian immigration. Example: ""Nos vemos a la matina."" (See you in the morning.)"
63,Merca,"A derogatory and colloquial slang term for drugs, especially cocaine. It's a shortened form of ""mercadería"" (merchandise).  The example sentence ""Ese lugar es peligroso, venden merca"" translates to ""That place is dangerous, they sell drugs.""  The term carries a negative connotation."
67,Nerca,"Slang term for ""meat"". It's a reversed spelling of the Spanish word ""carne"" (meat).  Example usage: ""Compramos nerca para el asado."" (We bought meat for the barbecue.)"
71,Pescar,"To understand, to get it (Figurative, like ""to catch on"").  Example: ""¿Pescas la idea?"" (Do you get the idea?). This is a slang term used as a verb to express comprehension."
72,Pibe/Piba,"Slang term for ""kid"" or ""young person"".  'Pibe' is masculine, 'Piba' is feminine."
82,Tordo,"Slang term for ""doctor"" or ""lawyer"". It's a vesre (reverse spelling) of ""doctor"", and also the name of a bird.  Example usage: ""Tengo cita con el tordo."" (I have an appointment with the doctor/lawyer.)"
83,Troesma,"A slang term meaning ""master, teacher, skilled person"". It is a vesre (reverse spelling) of ""maestro"" (master).  Example usage: ""Es un troesma de la guitarra."" (He's a guitar master.)"
88,Yorugua,"Uruguayan (Vesre of ""uruguayo"").  It's a slang term meaning Uruguayan, created by reversing the letters of the word ""uruguayo"". Example: ""Mi vecino es yorugua."" (My neighbor is Uruguayan.)"
90,Zafar,"To get out of a difficult situation, to narrowly escape, to get off the hook.  Example: ""Zafamos de casualidad."" (We got away by sheer luck.)  This slang term implies a fortunate escape from a problematic circumstance."
91,Zapi,"A slang term for ""pizza"" in Argentina. It's a reversed spelling of ""pizza"".  Example usage: ""¿Pedimos una zapi?"" (Shall we order a pizza?)."
98,Dou,"Pronounced like ""dough"". An expression of surprise or agreement, similar to ""wow"" or ""for real?"". Popularized by internet culture and streamers.  Example: ""—Me saqué un 10. —¡Dou!"" (—I got a 10. —Wow!)"
115,Stalkear,"The Spanish verb ""stalkear"" means ""to stalk"" in the context of online behavior.  The example sentence shows its use in describing the feeling of discomfort or embarrassment caused by watching something online that one finds cringeworthy.  It's an internet slang term adapted from the English word ""stalk."""
153,De una,"A colloquial Argentine Spanish expression meaning ""For sure, definitely, absolutely.""  It's an informal affirmation, expressing strong agreement or confirmation. The exclamation mark ""¡De una!"" emphasizes the certainty and enthusiasm."
155,En la loma del orto,"A vulgar Argentine expression meaning ""very far away, in the middle of nowhere"".  The literal translation involves a somewhat crude reference to a hill and a body part.  Its use highlights the remoteness and potentially unpleasant nature of the location."
160,Estar en pedo,"This idiom means ""to be drunk"".  It's a colloquial and informal way to express being intoxicated in Argentina. The exact nuance might vary slightly depending on context, but generally implies a state of being under the influence of alcohol."
165,Hacer la gamba,"The phrase ""Hacer la gamba"" literally translates to ""to do the leg.""  However, it idiomatically means ""to do a favor, to help someone out."" The word ""gamba"" itself means ""leg"" in Spanish, but in this context, it takes on a figurative meaning related to extending assistance or support."
169,Irse/Mandar a freír churros,"This phrase translates literally to ""go/send to fry churros.""  It's a figurative expression used to tell someone to get lost, go to hell, or to dismiss them rudely.  The image of someone being relegated to the menial task of frying churros implies dismissal and a sense of disdain."
174,Me cortaron las piernas,"An idiom meaning ""They cut my legs off!""  It expresses feeling severely hampered, debilitated, or having one's hopes dashed.  It's a figurative expression describing a significant setback.  The idiom is famously associated with Diego Maradona."
177,¿Me estás cargando? / ¿Me cargás?,"This phrase translates to ""Are you kidding me?"" or ""Are you pulling my leg?"" in English.  It's a common Argentinian slang expression used to express disbelief or incredulity.  The two versions reflect different levels of formality;  '¿Me estás cargando?' is slightly more formal than '¿Me cargás?', which uses the informal 'vos' conjugation common in Argentina."
179,Me pinta / ¿Te pinta?,"This is an Argentinian idiom.  ""Me pinta"" translates literally to ""It paints me"" and ""¿Te pinta?"" translates to ""Does it paint you?""  However, the idiomatic meaning is ""Do I feel like it? / Do you feel like it?""  It refers to a spontaneous inclination or desire to do something.  The phrase is informal and commonly used among friends and peers."
181,Moverte que te va a mear un perro,"""Move, or a dog will pee on you.""  This is a forceful way of telling someone to hurry up and stop wasting time.  The threat of a dog urinating on someone is used figuratively to emphasize the urgency of the situation. It's a common expression in Argentina, conveying impatience and a sense of annoyance."
184,No da,"A colloquial Argentine Spanish expression meaning ""It's not appropriate, it's not right, it doesn't work, it's not cool.""  The literal translation is incomplete and doesn't fully capture the nuanced meaning, which implies disapproval or rejection of something."
199,Tomarse el palo,"To leave, to take off, often suddenly.  The literal translation is ""to take the stick,"" but the idiomatic meaning refers to departing unexpectedly or quickly.  Further cultural context or specific usage within Argentina would require additional information."
202,"Yo, argentino","An idiomatic expression meaning ""I'm Argentinian"".  It's a colloquial and informal way to identify oneself as Argentinian."
203,A caballo regalado no se le miran los dientes,"This is an idiomatic expression or common phrase in Argentina.  It translates roughly to ""Don't look a gift horse in the mouth.""  It means that one shouldn't be too critical or demanding when receiving a gift or something offered freely."
261,¡Mirá vos!,"An idiomatic expression in Argentine Spanish used to express surprise, disbelief, or astonishment.  It's equivalent to English phrases like ""Look at that!"", ""Well, I never!"", or ""Fancy that!"". It conveys a sense of wonder or amazement at an unexpected event or situation."
267,Viste,"The word ""viste"" in Argentine Spanish translates to ""you saw"" or ""you saw it."" However, in colloquial usage, it functions as a discourse marker, similar to English expressions like ""you know?"" or ""see?""  It's often used at the end of sentences to confirm shared understanding or to seek agreement, rather than literally referring to the act of seeing something.  It's a common filler word in everyday conversation."
285,Maradona,"Refers to Diego Maradona, a highly significant and iconic figure in Argentinan football history.  The phrase ""Maradona"" in their eld likely implies a reference to Maradona's legendary status and impact on the Argentinan culture, possibly used in contexts related to football or as a general expression of national pride or excellence."
325,Atar con alambre,"This expression is a little sarcastic and is used when something is broken, damaged, or in a bad condition. Argentines have a funny way of saying that things need to be fixed, or at least made functional again. “Atar con alambre” means that you will improvise and come up with a solution for a certain situation – without actually solving the main problem. A literal translation would be “to tie with wire”.  It highlights a makeshift, temporary fix."
328,Picar el bagre,"The phrase literally translates to ""having an itchy catfish.""  However, it idiomatically means ""being hungry."" The entry notes that it's a peculiar expression."
329,Quemar la cabeza,"An expression used to describe being in a difficult situation or a conundrum, and having to think hard in order to come up with a solution. The literal translation is “to burn your head”.  The example sentence provided is: ""Lleva una semana quemándose la cabeza tratando de escribir ese artículo"" (He/She has been burning his/her head for a week trying to write that article)."
